scholarship_name,deadline,degree,university_name,level,country
Chevening Scholarship 2024 For Pakistani Students,01 Mar 2024,"Business & Management,Medical & Pharmacy,Religion & Ethics",Chevening Scholarship,Scholarships are available for master study programs,UK
"Imperial College London A&BK Scholarship in the Department of Chemical Engineering, UK",24 May 2024,"Engineering&Technology,Business & Management,Medical & Pharmacy",Imperial College London,Undergraduate,UK
"International Fully-funded PhD Studentships in Green Production of Ammonia, UK",12 Mar 2024,"Engineering&Technology,Computer Science & IT,Education",University of Nottingham,PHD,UK
University of Leeds International Excellence Scholarships in UK,31 Jan 2024,"Engineering&Technology,Business & Management,Social Sciences",University of Leeds,Masters,UK
AZ Funded Non-Clinical PhD International Studentships in UK ,01 Feb 2024,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy",University of Cambridge,PHD,UK
"International PhD Studentships in DECaDE Centre for the Decentralized Digital Economy, UK",20 Jan 2024,"Business & Management,Computer Science & IT,Education",University of Surrey,PHD,UK
"Aston University GREAT Scholarships for Students from India, Pakistan Thailand, and Vietnam in UK",24 May 2024,"Business & Management,Computer Science & IT,Tourism & Hospitality",Aston University,Postgraduate,UK
"International CLL PhD Scholarships in People-focused Professions and Inclusion, UK",30 Apr 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",University of Warwick,PHD,UK
Cornwall Business School International Postgraduate Scholarships in UK,31 May 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",Falmouth University,Master,UK
Durham University International Scholarships in UK,24 Jan 2024,"Computer Science & IT,Medical & Pharmacy,Religion & Ethics",Durham University,Undergraduate and Postgraduate Taught,UK
Erasmus Mundus Master Program in Plant Breeding (EmPLANT+) Scholarships for International Students,09 Jan 2024,"Business & Management,Computer Science & IT,Education",Consortium of six leading European Universities,Master’s Program (EMJMD),Europe
LSHTM Fund Scholarships for Global Health Leaders in UK,04 Mar 2024,"Engineering&Technology,Computer Science & IT,Education",London School of Hygiene & Tropical Medicine (LSHTM),Master’s (MSc),UK
University of Sussex Psychology Doctoral Research International Studentships in UK,05 Jan 2024,"Business & Management,Computer Science & IT,Social Sciences",University of Sussex,PHD,UK
Help to Achieve Scholarships for International Students in UK,22 Dec 2023,"Computer Science & IT,Medical & Pharmacy,Education",The University of West London,Undergraduate and postgraduate degree,UK
Leo Tong Chen Scholarships at Saïd Business School in UK,05 Jan 2024,"Business & Management,Medical & Pharmacy,Social Sciences",Saïd Business School,MBA,UK
"International CLL PhD Scholarships in People-focused Professions and Inclusion, UK",30 Apr 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",University of Warwick,PHD,UK
"Aston University GREAT Scholarships for Students from India, Pakistan Thailand, and Vietnam in UK",24 May 2024,"Business & Management,Computer Science & IT,Tourism & Hospitality",Aston University,Postgraduate,UK
University of Sussex Psychology Doctoral Research International Studentships in UK,05 Jan 2024,"Business & Management,Medical & Pharmacy,Religion & Ethics",University of Sussex,PHD,UK and International students
Help to Achieve Scholarships for International Students in UK,11 Dec 2023,"Business & Management,Education,Tourism & Hospitality",The University of West London,Undergraduate and postgraduate degree,UK
"International PhD Studentships in DECaDE Centre for the Decentralized Digital Economy, UK",13 Dec 2023,"Business & Management,Education,Religion & Ethics",University of Surrey,PHD,UK
Leo Tong Chen Scholarships at Saïd Business School in UK,05 Jan 2024,"Business & Management,Computer Science & IT,Medical & Pharmacy",Saïd Business School,MBA,UK
Global Talent Scholarships at Queen Mary University of London,31 Jan 2024,"Business & Management,Education,Social Sciences",Queen Mary University of London,Undergraduate,UK
"International CLL PhD Scholarships in People-focused Professions and Inclusion, UK",30 Apr 2024,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Religion & Ethics",University of Warwick,PhD,UK
"Aston University GREAT Scholarships for Students from India, Pakistan Thailand, and Vietnam in UK",24 May 2024,"Engineering&Technology,Business & Management,Computer Science & IT",Aston University,Postgraduate,UK
University of East Anglia Allan and Nesta Ferguson Scholarships in UK,10 Nov 2023,"Business & Management,Computer Science & IT,Education",University of East Anglia, Postgraduate Taught,
University of Leeds International Excellence Scholarships in UK,31 Jan 2024,"Social Sciences,Applied & Pure Sciences",University of Leeds,Masters,UK
Brunel University London International Bursary in UK,17 Dec 2023,"Social Sciences,Applied & Pure Sciences",Brunel University London,Postgrduate courses,UK
"International CLL PhD Scholarships in People-focused Professions and Inclusion, UK",30 Apr 2024,"Social Sciences,Applied & Pure Sciences",University of Warwick,PhD,UK
Cornwall Business School International Postgraduate Scholarships in UK,31 May 2024,"Social Sciences,Applied & Pure Sciences",Falmouth University,Masters,UK
Southampton Business School Deans Postgraduate Scholarship 2024,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Southarnpton,Masters,UK
Royal Navy and Royal Marine Bursary 2023,24 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Greenwich,Bachelors,UK
University of Chichester Global Merit Scholarship 2024,28 Jun 2024,"Social Sciences,Applied & Pure Sciences",University of Chichester,"Bachelors, Masters",UK
Equal Access Scholarship (undergraduate),31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of York,Bachelors,UK
Commonwealth Split Site PhD Scholarships 2024/25 (Fully Funded),05 Dec 2023,"Social Sciences,Applied & Pure Sciences",Commonwealth Spilt,PhD,UK
"University of Leeds International Excellence Scholarship 2023-24, UK",31 Dec 2023,"Art & Design,Medical & Pharmacy,Social Sciences,Applied & Pure Sciences",University of Leeds,Bachelors,UK
"Sussex MBA Scholarships 2023/24, UK",30 Nov 2023,"Social Sciences,Applied & Pure Sciences",Universtiy f Sussex,Masters,UK
Gates Cambridge Scholarships for International Students,05 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Cambridge,"Masters, PhD",UK
Clarendon Fund Scholarships at University of Oxford,05 Jan 2024,"Social Sciences,Applied & Pure Sciences",University of Oxford ,"Masters, PhD",UK
Warwick Chancellor’s International Scholarships,12 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Warwick,PhD,UK
High Achiever Scholarship at The University of Buckingham 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Buckingham,Bachelors,UK
John Anderson Research Studentship Scheme (JARSS),31 Dec 2023,"Engineering&Technology,Computer Science & IT,Social Sciences,Applied & Pure Sciences",Engineering and Physical Science Research Council(epsrc),Masters,UK
International Scholarship at Durham University,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Durham University,"Bachelors, Masters",UK
E D Davies Scholarship at Fitzwilliam College University of Cambridge,30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Cambridge,PhD,UK
Oxford-Pershing Square Graduate Scholarships 2024,05 Jan 2024,"Social Sciences,Applied & Pure Sciences",University of Oxford,"Masters , MBA",UK
Head of School Excellence Scholarship (International) at University of Leeds 2024,07 Jun 2024,"Social Sciences,Applied & Pure Sciences",University of Leeds,Masters,UK
Artificial Intelligence and Data Science Bursaries at University of Hull,10 Dec 2023,"Engineering&Technology,Computer Science & IT",University of Hull,Masters,UK
International Achievement Scholarship at Liverpool John Moores University 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Liverpool John Moores University,Masters,UK
Wellcome Career Development Awards 2023,16 Nov 2023,"Engineering&Technology,Computer Science & IT",Wellcome Trust,Post Doc,UK
E D Davies Scholarship at Fitzwilliam College University of Cambridge,30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Cambridge,PhD,UK
Alumni Scholarship at University of Dundee,30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Dundee,Masters,UK
Wolfson Postgraduate Scholarships in the Humanities,,Humanities,The University of Nottingham,PhD,UK
Brian Cooper Scholarship,31 Jan 2024,"Social Sciences,Applied & Pure Sciences",University of Edinburgh,Bachelors,UK
Africa Regional Scholarship For Students 2023,19 Jan 2024,"Business & Management,Social Sciences,Applied & Pure Sciences,Accounting & Finance",Imperial College Busness School,Masters,UK
The Karen Jones Year Abroad Scholarship 2023,29 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of East Anglia,Bachelors,UK
"GEMS Undergraduate Merit Scholarship, 2024",22 Apr 2024,"Social Sciences,Applied & Pure Sciences",University of Sheffield,Bachelors,UK
Gates Cambridge Scholarship,05 Dec 2023,"Social Sciences,Applied & Pure Sciences",Gates Cambridge,"Masters, PhD",UK
Alumni Scholarship at University of Dundee,30 Nov 2023,"Engineering&Technology,Business & Management,Computer Science & IT",University of Dundee,Masters,UK
The Karen Jones Year Abroad Scholarship 2023,29 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of East Anglia,Bachelors,UK
University of Kent International Scholarships For Taught Masters Students 2024,,"Social Sciences,Applied & Pure Sciences",University of Kent,Masters,UK
International Scholarship at Durham University,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Durham University,"Bachelors , Masters",UK
PAIS PhD Studentship at University of Warwick 2024,08 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Warwick,PhD,UK
Economic and Social Research Council Doctoral Training Partnership (ESRC),01 Dec 2023,"Social Sciences,Applied & Pure Sciences",Economic and Social Research Council (ESRC),Masters,UK
Sussex MBA Scholarships at the University of Sussex 2023,30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Sussex,Masters,UK
Law Postgraduate Community Bursary,31 Dec 2023,Law,University of Strathclyde,Masters,UK
JEP MSc Progression scholarship (January 2024),30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University o fDundee,Masters,UK
MSc Women’s Marjorie McDermott Scholarship,18 Nov 2023,"Engineering&Technology,Computer Science & IT",Imperial College London,Masters,UK
E D Davies Scholarship at Fitzwilliam College University of Cambridge 2022,30 Nov 2023,"Social Sciences,Applied & Pure Sciences",University of Cambridge,PhD,UK
British Chevening Scholarship 2024 Applications (Fully Funded),07 Nov 2023,"Social Sciences,Applied & Pure Sciences",British Chevening,Masters,UK
Fully Funded Scholarships in UK 2024 (For International Students),31 Dec 2023,"Social Sciences,Applied & Pure Sciences",UK Government,"Masters, PhD",UK
UK Clarendon Scholarship 2024 (Fully Funded) Oxford University,02 Jan 2024,"Social Sciences,Applied & Pure Sciences",UK Clarendon ,"Masters, MPhil",UK
Northumbria University Alumni Discount 2023/2024,31 Dec 2023,Humanities,Northumbria University,"Masters, PhD, Post Doc",UK
Arts and Humanities Research Council Doctoral Training Partnership (AHRC),01 Dec 2023,"Art & Design,Humanities",University of Strathclyde,Masters,UK
Invitation to Idaho Scholarship 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Idaho,Bachelors,UK
Africa Postgraduate Scholarship at University of Essex 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences","University of Essex, Colchester Campus",Masters,UK
Al-Maktoum College Living Support scholarship 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Dundee,Masters,UK
Cranfield University Athena Scholarship for Thermal Power and Propulsion MSc 2023,31 Dec 2023,"Engineering&Technology,Computer Science & IT",Cranfield University,Masters,UK
Queen's University Belfast International Office Postgraduate Taught Scholarship 2024,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Queens University Belfast,Masters,UK
International Transfer Scholarship at Ferris State University 2024,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Ferris State University,Bachelors,UK
The Charles Wallace Burma Trust Academic Grants 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",The Charles Wallace Burma Trust,Masters,UK
Scotland Saltire Scholarships 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Scotland. Org,Masters,UK
Dudley Stamp Memorial Award by Royal Geographical Society 2023,23 Nov 2023,"Social Sciences,Applied & Pure Sciences",Royal Geographical Society,"PhD, Post Doc",UK
Surrey MBA Scholarship 2023,01 Nov 2023,Business & Management,University of Surrey,MBA,UK
University of Lincoln Africa Scholarship 2023,01 Dec 2023,"Social Sciences,Applied & Pure Sciences","University of Lincoln, United Kingdom",Masters,UK
Geographical Club Award by Royal Geographical Society 2023,23 Nov 2023,"Social Sciences,Applied & Pure Sciences",Royal Geographical Society,PhD,UK
Dudley Stamp Memorial Award by Royal Geographical Society 2023,23 Nov 2023,"Social Sciences,Applied & Pure Sciences",Royal Geographical Society,"PhD, Post Doc",UK
QMUL Annual Fund Scholarship 2023,08 Nov 2023,"Social Sciences,Applied & Pure Sciences",QMUL Annual Fund Scholarship 2023,Bachelors,UK
Wellcome Career Development Awards 2023,16 Nov 2023,"Social Sciences,Applied & Pure Sciences",Well come Trust,Post Doc,UK
The Rhodes Scholarship at University of Oxford 2023,24 Oct 2023,"Social Sciences,Applied & Pure Sciences",Th Rhodes Trust,Masters,UK
Jane M. Klausman Women in Business Scholarship - Zonta International at University of Birmingham 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Birningham,Masters,UK
"Sussex MBA Scholarships 2023/24, UK",30 Nov 2023,Business & Management,University of Sussex,Masters,UK
"University of Leeds International Excellence Scholarship 2023-24, UK",31 Dec 2023,"Business & Management,Social Sciences,Applied & Pure Sciences",University of Leeds,Bachelors,UK
"University of Glasgow Undergraduate Scholarship 2024, UK",31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Glasgow,Bachelor,UK
"Unilever Future Leaders Programme 2023, UK",31 Dec 2023,"Social Sciences,Accounting & Finance",UK Universities,Inernship,UK
"University of Manchester Funds for Women Graduates 2024, UK",31 Dec 2023,"Engineering&Technology,Computer Science & IT",University of Manchester,Master and PhD,UK
"British Academy Global Innovation Fellowships 2023/2024, UK",01 Nov 2023,"Computer Science & IT,Social Sciences,Humanities",The British Academy,"Undergraduate , Masters",UA
Perry Foundation Study Awards 2023,31 Oct 2023,Agriculture & Veterinary,Perry Foundation ,PhD,UK
Chancellor's and Vice Chancellor's International Awards at Manchester Metropolitan University 2023,30 Nov 2023,"Engineering&Technology,Business & Management,Computer Science & IT",Manchester Metropolitan University,"Bachelors, Masters",USA
University of Kent International Scholarships For Taught Masters Students 2024,17 Nov 2023,"Social Sciences,Applied & Pure Sciences",Univerity of Kent,Masters,UK
BU Music Scholarships 2023,30 Nov 2023,"Art & Design,Others",Bournemouth University,"Bachelors, Masters",UK
Department of Sociology Doctoral studentships at University of Surrey 2023,09 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Surrey,PhD,UK
School of Health & Psychological Sciences Dean's Scholarship for Academic and Clinical Excellence at City University of London 2023,08 Dec 2023,"Social Sciences,Applied & Pure Sciences",City University London,Masters,UK
Kent Law School LLM Global Welcome Scholarship (Canterbury) 2023,31 Dec 2023,Law,Universty of Kent,Masters,UK
School of Health & Psychological Sciences International Excellence Scholarship (IES) at City University of London 2023,08 Dec 2023,"Engineering&Technology,Computer Science & IT",City University London,Masters,UK
Chevening Scholarships 2023,07 Nov 2023,"Social Sciences,Applied & Pure Sciences",Chevening,Masters,UK
Deans Award for Academic Excellence Scholarship 2023,31 Dec 2023,"Art & Design,Engineering&Technology,Social Sciences,Applied & Pure Sciences,Humanities",University of Bath,Masters,UK
University of Exeter - GREAT Scholarships 2024,16 Oct 2023,"Social Sciences,Applied & Pure Sciences",University of Exeter,Masters,
African Undergraduate And Postgraduate Scholarships At Edinburgh Napier University 2023/2024 – UK,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Edinburgh Naiper University,Undergraduate and Postgraduate ,UK
Care Leaver Bursary at Greenwich University 2023,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Greenwich,Bachelors,UK
"British Academy Global Innovation Fellowships 2023/2024, UK",01 Nov 2023,"Social Sciences,Applied & Pure Sciences,Agriculture & Veterinary",British Academy,Undergraduate and Masters,UK
Royal College of Art Deputy Vice Chancellor’s International Scholarships in UK,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Royal College of Art,Masters,United Kingdom
Guildford School of Acting Doris & Hilda Farmer Charitable Trust Bursaries in UK,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Guildrod School of Acting,Undergradaute or Postgraduate,United Kingdom
The University of Manchester Department of Mathematics Scholarship Award for International Students,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Manchester,Postgraduate research,UK
"University of Glasgow College PhD International Scholarship in Religious and Spiritual Lives of Transnational Young People and African Migrant-Background, UK",31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Glasgow,Phd,United Kingdom
Swansea University Elite International Sports Scholarship (EISS) in UK,31 Mar 2024,"Social Sciences,Applied & Pure Sciences",Swansea University,Undergradaute,UK
University of Leeds International Foundation Year (IFY) Scholarships in UK,31 Aug 2024,"Social Sciences,Applied & Pure Sciences",University of Leeds,Degree,United Kingdom
Rhodes Scholarships at Oxford University for International Students,31 Oct 2023,"Social Sciences,Applied & Pure Sciences",Oxford University in UK,"Graduate, Master, PhD",UK
UWE Chancellor’s Scholarships for International Students,30 Sep 2023,"Social Sciences,Applied & Pure Sciences",University of the West of England Bristol,Master Degree,
Reach Oxford Scholarships for Developing Country Students,16 Oct 2023,"Social Sciences,Applied & Pure Sciences",Oxford University,Undergradaute ,UK
Gates Cambridge Scholarships for International Students,05 Dec 2023,"Social Sciences,Applied & Pure Sciences","University of Cambridge, United Kingdom",PhD,UK
Commonwealth Master’s Scholarships for Developing Commonwealth Countries,17 Oct 2023,"Social Sciences,Applied & Pure Sciences",Commonwealth Master’s Scholarships for Developing Commonwealth Countries,Master Degree Progamme,
Clarendon Fund Scholarships at University of Oxford,09 Jan 2024,"Art & Design,Medical & Pharmacy,Social Sciences,Applied & Pure Sciences",University of Oxford in United Kingdom,Master ' PhD,
Gates Cambridge Scholarships for International Students,15 Oct 2023,"Social Sciences,Applied & Pure Sciences",University of Cambridge,PhD,
University of Sussex Graduate Scholarships in UK,30 Sep 2023,"Social Sciences,Applied & Pure Sciences",University of Sussex,Master Program (full-time or part-time),United Kingdom
University of Stirling Postgraduate East Asia Scholarships in UK,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of Stirling,Postgraudate ,UK
Marshall Scholarships for Americans Students in UK,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",University of East Anglia,Postgraduate Taught,UK
Norwich University of the Arts Vice Chancellor’s Global UG Awards in UK,31 Dec 2023,"Social Sciences,Applied & Pure Sciences",Norwich University of the Arts,Undergraduate degree,
Norwich Uniersity of the Art Vice Chancellor's Global UG Award in UK,,"Art & Design,Architecture & Construction",Norwich Uniersity of the Art Vice Chancellor's Global UG Award in UK,Undergraduate degree,UK
University of Bradford Academic Excellence Scholarships in UK,29 Sep 2023,"Education,Social Sciences,Applied & Pure Sciences",University of Bradford Academic Excellence Scholarships in UK,Undergraduate,UK
Gates Cambridge Scholarship 2024 in UK (Fully Funded),01 Oct 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy",Cambridge University,"Master, PhD, MSC, MLitt",UK
British Chevening Scholarship 2024 Applications (Fully Funded),07 Nov 2023,"Art & Design,Engineering&Technology,Computer Science & IT",Chevening Scholarship ,Master’s degree,UK
"Fully Funded International PhD Scholarships in Experimental Characterisations and Modelling of Facial Tissues for Simulation of Facial Deformations, UK",22 Sep 2023,"Engineering&Technology,Education,Religion & Ethics",Swansea University,PHD,UK
"International PhD Studentships in Discovery of Materials for Enhanced PV Performance, UK",17 Mar 2024,"Engineering&Technology,Computer Science & IT","International PhD Studentships in Discovery of Materials for Enhanced PV Performance, UK",Graduate,
British Chevening Scholarship 2024 Applications (Fully Funded),07 Nov 2023,"Art & Design,Business & Management,Medical & Pharmacy",CHEVENING SCHOLARSHIP,Master’s degree,UK
University of Bradford Academic Excellence Scholarships in UK,29 Sep 2023,"Art & Design,Social Sciences,Applied & Pure Sciences",University of Bradford Academic Excellence Scholarships in UK,Undergraduate,UK
"UK Commonwealth Scholarship 2024/25 (Masters, PhD)",17 Oct 2023,"Engineering&Technology,Computer Science & IT,Education",Commonwealth Scholarship Commission,"For Master, and PhD",UK
"International PhD Studentships in Discovery of Materials for Enhanced PV Performance, UK",05 Oct 2023,"Art & Design,Computer Science & IT,Medical & Pharmacy",University of Liverpool,PHD,UK
